FeatureName,DepositName,SiteName,Region,NGR,East,North,SiteLocation,RelationToNearestSummit,LandscapeZone,ApproxHeight ASL (m),CountrysideCharacterArea2012,LocationType,RelationToLocalSites,SiteDescription,DiameterRoundSites,SiteType,FeatureType,FeatureOrientation,FeatureDimensions,FeatureLength(cm),FeatureWidth(cm),FeatureDepth(cm),FeatureLocation,LocationRelToCentre,FeatureDescription,AssociatedFeatures,TreatmentOfRemains,MaterialsInDeposit,ArrangementOfDeposit,HeadSideFace,MNIWithinDeposit,SexOfIndsWithin Deposit,AgeOfIndsWithinDeposit,OtherSkeletalInformation,AccessionTWAMHumanRemains,BoneAnalysisUsed,ArtefactsInDepositList,ArtefactDescriptions,VesselType,RefinedTypologies,VesselIllustrations,OtherFindIllustrations,DatingOfDeposit,DatingOfHumanRemains,EstimatedDateRange(Fowler2012),PrimaryReferences,DecadeOfExcavation,OtherNotes,Excavator,UsedforFowler2013?,UsedforRitualChanges Analysis?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatton Sandyford cairn 1 grave 3,Chatton Sandyford cairn 1 grave 3,Chatton Sandyford/ Sandyford Moor,Northumberland,NU10032669,410000,626000,Open moorland,North East,Upland,215m,Northumberland Sandstone Hills,Upland near to stream,Large cairn cemetery,"Kerbed ring cairn. Stone ring and kerb with flat façade c. 1.25m thick, composed of sandstone blocks. Exterior of cairn 10m in diameter",10m,Kerbed ring cairn,Oval grave pit,N-S,1.40 by 1m by 1m deep,140,100,100,SE perimeter of kerbed cairn,South East,"Oval pit oriented North-South, possibly a grave pit. Could be prior to cairn construction or inserted through cairn, cairn material replaced over grave","This feature could be prior to cairn construction or inserted through cairn, with cairn material then replaced over the grave.There are two other pits which may have contained mortuary deposits within the enclosed area, and two cremation deposits.",Uncremated remains,None recorded,Unknown,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,Beaker sherds found in upcast from robbing. ,"Almost the whole vessel was found. Its form is dissimilar to the other two beakers, being less S-shaped in profile with only gradual angle from the vertical, and its decoration is very different, with two lines around the neck and a zig-zag around the lower body, with random incisions in between",Beaker,"Possibly weak-carinated (N2005: 189, of the style which date to 2200-2000 BC). Clarke S4/FV",Y,N/a,N,N/a,2100-1900 BC,"Jobey, G. 1968. Excavations of Cairns at Chatton Sandyford, Northumberland. Archaeologia Aeliana (4th Series) 46, 5-50.",1960s,Robbed out,G Jobey,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheswick cist,Cheswick,Cheswick (GwUn16),Northumberland,NU0346,403000,646000,On natural knoll,East,"Coastal lowland, on low ridges ",20m,North Northumberland Coastal Plain,Coastal,Isolated,Cist within pit cut into natural knoll,No mound recorded,Solo cist,Cist,N-S,".8m long and wide, .6m deep",80,80,60,Within pit cut into natural knoll,N/a,"Cist within pit cut into natural knoll, oriented North-South. Cist was robbed in the 19th century",None,Uncremated remains,Not given,Not given,?,1 (?),Indet.,Indet.,Traces of burial within cist only,N/a,N/a,Bronze dagger blade,Flat riveted bronze dagger blade,N/a,Ridgeway group (Gerloff no. 96),N,Y (in Kinnes and Longworth),N,N/a,2150-1900 BC,Greenwell 1877 & Kinnes and Longworth 1985.,1830s,,Donaldson,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheviot Walk Wood cist 1,Cheviot Walk Wood deposit 1,Cheviot Walk Wood ,Northumberland,NU10161960,410160,619600,Natural mound on upland ridge. Springs within c. 500m,South South East,Valley edge,125m,Northumberland Sandstone Hills,Hillside near to stream,Isolated,"Natural knoll used as focus for mortuary deposits. The summit of a natural mound is bounded by one or two artificial stone kerbs. All of the mortuary deposits are within the kerb, but it appears the kerb may be far later - possibly post-medieval",Natural mound only,Cemetery of cists and pits on natural knoll,Cist,N-S,1m by .4m wide,100,100,40,Centre of summit of mound,Centre,"Cist oriented North-South, in pit cut into natural knoll",Food Vessel in the 19th century backfill likely to belong to cist 1. One of 7 mortuary deposits.,Uncremated remains,Unknown,Unknown,?,Indet.,Indet.,Indet.,Only fragments recovered due to 19th century activity,N,Excavation report,Food Vessel ,,Bowl Food Vessel,Bowl Food Vessel,N/a,N/a,N,N,2150-1750 BC,"Stopford, J., Weyman, J., Ford, B. & Miket, R. 1985. Two Cemeteries of the Second Millennium B.C. in Northumbria. Archaeologia Aeliana (5th Series) 13, 117-31.",1980s,,"J Stopford, J Weyman, B Ford and R Miket",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheviot Walk Wood deposit 2,Cheviot Walk Wood deposit 2,Cheviot Walk Wood ,Northumberland,NU10161960,410160,619600,Natural mound on upland ridge. Springs within c. 500m,South South East,Valley edge,125m,Northumberland Sandstone Hills,Hillside near to stream,Isolated,"Natural knoll used as focus for mortuary deposits. The summit of a natural mound is bounded by one or two artificial stone kerbs. All of the mortuary deposits are within the kerb, but it appears the kerb may be far later - possibly post-medieval",Natural mound only,Cemetery of cists and pits on natural knoll,Pit with stone cover,N/a,.70m diameter,70,70,?,SE of mound summit,South East,"Round pit with small stones as lining, and with triangular slab cover",One of 7 mortuary deposits,Cremation,None recorded,Unknown due to disturbance by tree roots and collapse of tree,N/a,1,Indet.,Adolescent,"Slight build, probably early teens. 500g of bone",N,Excavation report,Food Vessel ,,Bowl Food Vessel,Bowl Food Vessel,Y,N/a,N,N,2150-1750 BC,"Stopford, J., Weyman, J., Ford, B. & Miket, R. 1985. Two Cemeteries of the Second Millennium B.C. in Northumbria. Archaeologia Aeliana (5th Series) 13, 117-31.",1980s,"Deposit disturbed by roots of tree - bones found within tree roots after tree had fallen, but vessel had fallen from roots","J Stopford, J Weyman, B Ford and R Miket",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheviot Walk Wood deposit 3,Cheviot Walk Wood deposit 3,Cheviot Walk Wood ,Northumberland,NU10161960,410160,619600,Natural mound on upland ridge. Springs within c. 500m,South South East,Valley edge,125m,Northumberland Sandstone Hills,Hillside near to stream,Isolated,"Natural knoll used as focus for mortuary deposits. The summit of a natural mound is bounded by one or two artificial stone kerbs. All of the mortuary deposits are within the kerb, but it appears the kerb may be far later - possibly post-medieval",Natural mound only,Cemetery of cists and pits on natural knoll,Pit,N/a,Not given,?,?,?,SE of mound summit,South East,Hollow or shallow pit,One of 7 mortuary deposits,Cremation,None recorded,Placed in natural hollow in the mound. No suggestion as to whether it may have been deposited in an organic container or not,N/a,1,Indet.,Adult over 20,Slight build. 640g,N,Excavation report,Waste flint flake,,Not possible,Not possible,N/a,N,N,N,2150-1750 BC,"Stopford, J., Weyman, J., Ford, B. & Miket, R. 1985. Two Cemeteries of the Second Millennium B.C. in Northumbria. Archaeologia Aeliana (5th Series) 13, 117-31.",1980s,,"J Stopford, J Weyman, B Ford and R Miket",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheviot Walk Wood deposit 4,Cheviot Walk Wood deposit 4,Cheviot Walk Wood ,Northumberland,NU10161960,410160,619600,Natural mound on upland ridge. Springs within c. 500m,South South East,Valley edge,125m,Northumberland Sandstone Hills,Hillside near to stream,Isolated,"Natural knoll used as focus for mortuary deposits. The summit of a natural mound is bounded by one or two artificial stone kerbs. All of the mortuary deposits are within the kerb, but it appears the kerb may be far later - possibly post-medieval",Natural mound only,Cemetery of cists and pits on natural knoll,Cist,NE-SW,1m by .8 wide,100,100,80,Just S of mound summit,South,"Cist placed within hollow in natural knoll, oriented North East-South West. Sandstone capstone and 7 upright side slabs. Paving slabs at base of cist rested on ""natural surface""",One of 7 mortuary deposits,Multiple cremation,None recorded,Unknown as deposit mixed by water perculation,N/a,2,Indet.,"Adult c.30-40 years old, Child 2-3 years old","The bone from the adult were not calcined white, but blackened and charred. This could be due to different conditions during cremation - could it also suggest scorching of bones rather than cremation of complete corpse? 550g total, another 105g of bone had seeped out of the cist",N,Excavation report,Food Vessel/ fragments of Food Vessel,,Bowl Food Vessel,Bowl Food Vessel,Y,N/a,N,N,2150-1750 BC,"Stopford, J., Weyman, J., Ford, B. & Miket, R. 1985. Two Cemeteries of the Second Millennium B.C. in Northumbria. Archaeologia Aeliana (5th Series) 13, 117-31.",1980s,Water had washed through cist repeatedly,"J Stopford, J Weyman, B Ford and R Miket",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheviot Walk Wood deposit 5,Cheviot Walk Wood deposit 5,Cheviot Walk Wood ,Northumberland,NU10161960,410160,619600,Natural mound on upland ridge. Springs within c. 500m,South South East,Valley edge,125m,Northumberland Sandstone Hills,Hillside near to stream,Isolated,"Natural knoll used as focus for mortuary deposits. The summit of a natural mound is bounded by one or two artificial stone kerbs. All of the mortuary deposits are within the kerb, but it appears the kerb may be far later - possibly post-medieval",Natural mound only,Cemetery of cists and pits on natural knoll,Cist,N/a,.5 cm cube cist,,,,NE of mound summit,North East,"Square cist placed in hollow or cut to natural knoll. Four side slabs and one cover slab, no stone base",One of 7 mortuary deposits,Multiple cremation,Sandy fill covering the cremated remains,Lying in base of cist,N/a,2,Indet.,"Young adult, Infant",Adult slightly built. Infant possibly newborn. 1350g total,N,Excavation report,Burnt flint knife,,N/a,Not possible,N/a,Y,N,N,2150-1750 BC,"Stopford, J., Weyman, J., Ford, B. & Miket, R. 1985. Two Cemeteries of the Second Millennium B.C. in Northumbria. Archaeologia Aeliana (5th Series) 13, 117-31.",1980s,,"J Stopford, J Weyman, B Ford and R Miket",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheviot Walk Wood deposit 6,Cheviot Walk Wood deposit 6,Cheviot Walk Wood ,Northumberland,NU10161960,410160,619600,Natural mound on upland ridge. Springs within c. 500m,South South East,Valley edge,125m,Northumberland Sandstone Hills,Hillside near to stream,Isolated,"Natural knoll used as focus for mortuary deposits. The summit of a natural mound is bounded by one or two artificial stone kerbs. All of the mortuary deposits are within the kerb, but it appears the kerb may be far later - possibly post-medieval",Natural mound only,Cemetery of cists and pits on natural knoll,Pit or hollow,N/a,Not given,?,?,?,SW of mound summit,South West,Pit cut into natural knoll,One of 7 mortuary deposits,Cremation,"Soil, gravel",Cremated bones contained within Food Vessel inverted in natural hollow - the base of the vessel had been packed with soil and gravel before the bones were introduced. The arrowhead was with the bones within the vessel,N/a,1,Indet.,Child c. 2-3 years old,70g,N,Excavation report,"Food Vessel, burnt barbed and tanged arrowhead",Arrowhead is burnt and tip is missing,Vase Food Vessel,Vase Food Vessel + Barbed and tanged arrowhead,Y,N/a,N,N,2150-1750 BC,"Stopford, J., Weyman, J., Ford, B. & Miket, R. 1985. Two Cemeteries of the Second Millennium B.C. in Northumbria. Archaeologia Aeliana (5th Series) 13, 117-31.",1980s,,"J Stopford, J Weyman, B Ford and R Miket",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheviot Walk Wood deposit 7,Cheviot Walk Wood deposit 7,Cheviot Walk Wood ,Northumberland,NU10161960,410160,619600,Natural mound on upland ridge. Springs within c. 500m,South South East,Valley edge,125m,Northumberland Sandstone Hills,Hillside near to stream,Isolated,"Natural knoll used as focus for mortuary deposits. The summit of a natural mound is bounded by one or two artificial stone kerbs. All of the mortuary deposits are within the kerb, but it appears the kerb may be far later - possibly post-medieval",Natural mound only,Cemetery of cists and pits on natural knoll,Pit,?,Unclear - feature cut by feature 1,?,?,?,Centre of summit of mound,Centre,Small pit,One of 7 mortuary deposits,Cremation,N/a,Unclear. Feature cut by construction of cist 1,N/a,1,Indet.,Adult below 40,165g,N,Excavation report,Food Vessel,,Vase Food Vessel,Vase Food Vessel ,Y,N/a,N,N,2150-1750 BC,"Stopford, J., Weyman, J., Ford, B. & Miket, R. 1985. Two Cemeteries of the Second Millennium B.C. in Northumbria. Archaeologia Aeliana (5th Series) 13, 117-31.",1980s,Disturbed,"J Stopford, J Weyman, B Ford and R Miket",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chollerton cist,Chollerton,Chollerton round barrow (Gw213),Northumberland,NY9572,395000,572000,Unknown: the Erring Burn runs through this grid square and there are some knolls visible on the OS map,?,Low hills,80-100m,Tyne Gap & Hadrian's Wall,Hillside near to stream,Isolated,"Mound of earth and stones, with top entirely stone. Cairn/barrow is 12m in diameter and 1m high",12m,Round barrow,Cist,NW-SE,1.1m by .7m wide and .7m deep.,110,70,70,At centre of cairn built standing on land surface under cairn,Centre,"Cist was described as irregular, with 7 side slabs and two cover slabs, and as built standing on the ground surface, oriented North West-South East",One of 3 mortuary deposits within the cairn,Crouched burial?,No details of the fills,The head was located towards the NW end of the cist according to Greenwell: this seems to be based on the positions in which arm and leg long bones were found,Head to NW,1 (?),Indet.,Adult,Mainly long bones surviving,N,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,N/a,?2300-1750?,Greenwell 1877 & Kinnes and Longworth 1985.,1840s,,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chollerton cremation deposit 1,Chollerton cremation deposit 1,Chollerton round barrow (Gw213),Northumberland,NY9572,395000,572000,Unknown: the Erring Burn runs through this grid square and there are some knolls visible on the OS map,?,Low hills,80-100m,Tyne Gap & Hadrian's Wall,Hillside near to stream,Isolated,"Mound of earth and stones, with top entirely stone. Cairn/barrow is 12m in diameter and 1m high",12m,Round barrow,"Cremation deposit strewn on land surface, covered with stone slab ",?,Slab covering deposit is .45m long and .38m wide,45,38,?,"3.6m S of the centre of the cairn, on land surface",South,The slab covered the cremated bones. The cairn covered the slab,One of 3 mortuary deposits within the cairn,Cremation,None detailed,Spread on land surface ,N/a,1,Indet.,Adult,None,N,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,N/a,?2000-1500?,Greenwell 1877 & Kinnes and Longworth 1985.,1840s,,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chollerton cremation deposit 2,Chollerton cremation deposit 2,Chollerton round barrow (Gw213),Northumberland,NY9572,395000,572000,Unknown: the Erring Burn runs through this grid square and there are some knolls visible on the OS map,?,Low hills,80-100m,Tyne Gap & Hadrian's Wall,Hillside near to stream,Isolated,"Mound of earth and stones, with top entirely stone. Cairn/barrow is 12m in diameter and 1m high",12m,Round barrow,"Cremation deposit within urn, under cairn",?,Not given,?,?,?,2.7m SSE of centre of cairn on land surface,South South East,Cremated bones in upright vessel placed on land surface covered by barrow,One of 3 mortuary deposits within the cairn,Cremation,None detailed,"The bones were found within the urn, which stood upright on the land surface",N/a,1,Indet.,Adolescent (?),"Greenwell's phrasing is ""the bones of a young person""",N,Excavation report,"""Cinerary urn""",,Urn,Not possible,N,N/a,N,N/a,?2000-1500?,Greenwell 1877 & Kinnes and Longworth 1985.,1840s,,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clara Vale cist (Ryton),Clara Vale cist,Clara Vale,Tyne & Wear,NZ13026462,413020,564620,On hillside overlooking River Tyne (on S bank),North,Hillside in river valley ,40m,Tyne Gap & Hadrian's Wall,Hilltop,Isolated,"Cist, oriented E-W",No mound recorded,Solo cist,Cist,E-W,"1.1m by .6m wide, .6m deep",110,60,60,N/a,N/a,"Cist, oriented East-West",None mentioned,Crouched burial,None mentioned,"Body lay with the head to the E, on the left side, with face to the S. The Beaker was 'close under the left arm' (Trechmann 1914: 1332)",ELS,1 (?),Male (?) ,Adult,"Teeth well worn but little decay, one possible abcess. Femur length 45.7cm. Prof W Wright has the skull as of ""an adult male of a powerful robust build""",N,Excavation report,Beaker ,"Shape similar to East Kennet Long Necked Beaker in Needham, decoration similar to Brandon. C. 2200-1950 BC",Beaker,"LN (early series), N3",Y,N/a,N,N,2200-1950 BC,"Trechmann, C. 1914. Prehistoric Burials in the County of Durham. Archaeologia Aeliana (2nd Series) 11, 119-76.",1910s,,"Reported by Trechmann, found by ploughman",Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coldsmouth Hill north cairn cist,Coldsmouth Hill north cairn cist,Coldsmouth Hill north cairn,Northumberland,NT85732826,385730,628260,N edge of summit ridge,Summit,Upland,410m,Cheviots,Hilltop,One of two cairns,Round cairn with two rings of stone c. 10m and c. 11m in diameter,10m + 11m,Round cairn,Cist,N/a,.6m by .5m,60,60,50,Central,Centre,"Cist, square",None mentioned,Cremation,None mentioned,Not recorded,N/a,Indet.,Indet.,Indet.,Only scraps of bone remained,N,Excavation report,Flint knife ,Knife appears plano-convex but no profile drawing,N/a,Plano-convex knife?,N/a,Y,N,N,?2150-1750?,"Craw, J.H. 1931. The Excavation of Two Bronze Age Cairns on Coldsmouth Hill, near Yetholm. History of the Berwickshire Naturalists Club 27, 379-84.",1920s,,J. Hewat Craw,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
